Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Clarisia biflora  Ruiz & Pav.   | Yacón (Perú y Ecuador).   | Moraceae.   |  Se distribuye en las Cordilleras de  Guanacaste, Tilarán, Volcánica central y  Talamanca, Pacífico sur y central y en zona norte.  El ámbito altitudinal es de 0 -1000 m .s.n.m.   |  Árbol que alcanza hasta  35 m de alto, corteza sin lenticelas o pústulas  anaranjadas. Hojas elípticas a obovadas, 8 –25 cm  de largo y 2.5 –9 cm de ancho, ápice largamente  acuminado, base a veces algo asimétrica, obtusa o re dondeada a aguda, 6 –12  pares de nervios curvados hacia el ápice cerca al margen, nervios  intersecundarios no marcadamente paralelos a los secundarios hacia el margen,  membranáceas; pecíolos 6 –22 mm de largo, estípulas 3 –8 mm de largo.  Inflorescencias axila res en las ramas jóvenes; inflorescencias estaminadas;  inflorescencia pistilada normalmente de flores apareadas o a veces una flor  solitaria. Frutos globosos, hasta 25 mm de largo, lisos a eventualmente  tuberculados y glabros.  Aguilar R, 2010    | Flores observadas  de abril a diciembre. Frutos observados de marzo a  febrero.  (Flora de Nicaragua, 2009) .   |  Frutos comidos por aves y fauna menor.
Conostegia micrantha   | Lengua de vaca, María.   | Melastomat aceae.   | Se distribuye en las  Cordilleras de Guanacaste, Tilarán,  Volcánica central y Talamanca, Pacífico  sur y central y en zona norte. El ámbito  altitudinal es de 0 -1000 m.s.n.m. Es una  especie de bosques tropicales lluviosos  premontanos y bo sques lluviosos de  bajura.   | Arbusto de 5  m de altura. Las hojas son simples y opuestas, de 1.5 -4 cm de largo, de forma  elíptica y margen entero. La superficie es lisa opaca y el peciolo es cilíndrico. Los  frutos son de color verde  y de forma esférica. Tiene con un "ombligo" en el ápice.  Cuando madura es de color negro y si se estripa sale un jugo de color morado  oscuro. Mide 0.7 de largo y 0.7 de diámetro, tiene muchísimas  semillas de color  café claro.   | Flores observadas de abril a diciembre. Frutos observados en esos  mismos meses.   | La madera es de color café claro, de cáscara lisa. Los frutos de esta famila (Melastomataceae) son comidos por muchos animales (pizotes, pavas, pericos, monos, etc)  (Espinoza, 200 0).
Croton schiedeanus Schltdl.   | Colpachi   | Euphorbiaceae   |  Bosques húmedos muy húmedos y secos. De México a Brasil. En  Costa Rica, 20 -1200 m; Ambas vertientes  de las Cordilleras Central, de  Guanacaste, Talamanca y Tilarán; Vertiente Caribe, Llanuras de Los Guatusos,  San Carlos y Tortuguero, Baja Talamanca; Vertiente Pacífica, Valles Central y del  General, Llanuras de Guanacaste, Penínsulas de Osa y Nicoya.   | Arbusto o árbol, de 8 -15(-24) m. Hojas Simples,  alternas, de 4 -26 × 2 -10 cm, ampliamente elípticas a elíptico -oblongas; pecíolos  glandulares, margen usualmente entero. Flores Inflorescencias de 3 -9(+) cm,  bisexuales, racemosas. Fruto s Cápsulas de 0.9 -1.2 cm, hojas generalmente café  oscuro al secarse, margen entero, pecíolos glandulares; inflorescencias bisexuales  con las flores pistiladas largamente pediceladas.   |  Flores y frutos observados simultáneamente  todo el año.   Madera  y usos:  La planta es hospedera del lepidóptero  Memphis artacaena.  Su  savia aplicada en heridas infectadas colabora eficazmente a su cicatrización.   | Tradicionalmente utilizado en algunas culturas para propósitos medicinales y en la fabricación de productos naturales.
Castilla elastica.   | Hule.  | Moraceae  | Se encuentra en el Pacífico norte,  central y sur, así c omo en la zona norte y Caribe.   La distribución altitudinal varía de 0 -500 m.s.n.m.  Es una especie abundante en claros del bosque en  bancos aluviales, con frecuencia asociado  a  Cecropia. Crece rápido en suelos fértiles.   | Árbol que alcanza hasta  30m de altura y hasta 100 cm de dap, la copa se  abre en sitios muy abiertos y ramifica más bajo. En  árboles muy grandes hay presencia de gambas. La  corteza es lisa, savia blanca o amarillenata muy  abundante y amargo.   Las hojas son simples, alternas, grandes, oblongas o lanceoladas, con estípula.  Posee inflorescencias masculinas y femeninas las primeras se agrupan en las  axilas de las hojas y las segundas son sol itarias. La infrutescencia es un agregado  de drupilla cónicas y tetrangulares adentro es de color anaranjado o rojizo y  contiene de una a dos semillas.   | La floración se da entre los meses de febrero a junio y los frutos entre  julio a agosto.     | Se utiliza en carpintería general, construcción interna (cornisas, rodapié),  algunas piezas para muebles, cajas y cajones.
Carapa nicaraguensis Audl     | Bateo, Cedro Bateo, Cedro Macho y Palo de Agua    | Meliaceae   | Se encuentra en el Pacífico  norte, central y sur, así co mo en la zona  norte y Caribe. La distribución altitudinal  varía de 0 -500 m.s .n.m. | es un árbol de tamaño mediano a grande, que puede alcanzar alturas de hasta 30 metros. Tiene un tronco recto, generalmente cilíndrico, con una corteza que puede variar de color y textura según la edad del árbol. Las hojas son compuestas, alternas y agrupadas al final de las ramas. Cada hoja está formada por varios folíolos que suelen ser opuestos o alternos. Los folíolos son generalmente ovalados, con bordes dentados o aserrados, y tienen una textura coriácea. | Por lo general, la floración de Carapa guianensis ocurre en las estaciones cálidas y húmedas, cuando las condiciones son propicias para la polinización y la formación de frutos. Las flores suelen ser pequeñas y están agrupadas en inflorescencias, como racimos o panículas. La formación de frutos en Carapa guianensis generalmente sigue a la floración exitosa. Los frutos son cápsulas grandes y leñosas que contienen múltiples semillas. Estas cápsulas pueden tardar un tiempo en madurar completamente, y durante este proceso, pueden cambiar de color y volverse más visibles.   | La madera posee el alcaloide “carapina” que tiene propiedades febrífugas. La corteza tiene  taninos que se usan para curtir pieles. Las hojas hervidas en agua se dicen muy  útiles para elim inar la comezón. La decocción del exocarpo de los frutos puede  ingerirse para eliminar parásitos intestinales y contra la fiebre. El aceite de las  semillas contiene ácidos palmítico, palmitoleico, esteárico, oleíco, linoleico y  linolenico, entre otros; ést e se toma contra la hepatitis y el tétanos, tópicamente  elimina el serpigo. Dicho aceite (llamado andiroba) también se usa para encender  lamparas y para hacer jabón y candelas. En Las Guayanas usan el líquido  producto, de la corteza macerada y reposada en agua, en baños para aliviar las  dolencias de la viruela y el sarampión. La decocción de la corteza la administran  contra la diarrea, gastralgia, malaria, reumatismo y úlceras. La decocción de las  hojas la usan como vulnerario. El aceite de las semillas, lo  emplean para tratar la  alopecia, bronquitis, eccemas, hemorroides, psoriasis, tos, úlceras gástricas, como  emoliente y repelente de mosquitos. Las semillas pulverizadas y mezcladas con  aceite de palma (Elaeis guineensis/Arecaceae), las usan para aliviar l a mialgia, contra el herpes genital, como antimicótico y vulnerario; la misma molienda disuelta en agua caliente, la ingieren para tratar la disentería, la malaria y la metrorragia)  (Florula, La selva. 2012).
Cordia a lliodora  (Ruiz & Pav.) Oken   | Laurel   | Boraginaceae   |  Elevaciones bajas, tanto en  climas secos como muy húmedos.  México al norte de Argentina, y las  Antillas. En Costa Rica amplia en ambas  vertie ntes, más frecuente en  elevaciones bajas, tanto en climas secos como muy húmedos; 0 -1.000 m   | Árbol, 8 -35 m de alto. Tronco con corteza levemente  fisurada, grisácea; ramitas hinchadas a la altura de los nudos, éstos huecos y  habita dos por hormigas. Corteza levemente fisurada, grisácea. Hojas simples,  alternas, de 8 -18 x 3 -8 cm, ovado -lanceoladas o elípticas, ápice agudo o  acuminado, base atenuada, ásperas en la haz y con una pubescencia densa de  tricomas estrellados en el envés; pec íolos de 0.8 -2.5 cm de largo. Flores blancas  (bisexuales); cáliz 4.4 -5 mm de largo, con 10 costillas; corola de 9 -12 mm de largo,  con 4 -6 lóbulos; estambres normalmente 5. Inflorescencias son panículas, axilares  o terminales, de 5 -15(-30) cm de largo, sali endo a partir de uno de los  hinchamientos de las ramitas. Los frutos son una nuez, de 5 -7 mm de largo,  cilíndrica, envuelta por la corola y el cáliz persistente con una semilla. Se  caracteriza por su ramificación típica verticilada y ramitas con hinchamien tos en  los nudos habitados por hormigas. Además es la única especie del género en el  país que tiene pubescencia de pelos estrellados   |  Flores observadas entre enero y marzo, noviembre y diciembre. Frutos  entre enero y abril y octubre a diciembre .  |  Su madera, de  excelentes propiedades, tiene alta  demanda a nivel nacional. Se desarrolla  bien en áreas abiertas o con vegetación  secundaria  (Florula, La selva. 2012).
Cananga odorata   | Ilán Ilán o ylang-ylang.  | Annonaceae | Es nativo de Malasia. Se encuentra distribuido en las zonas  tropicales.   | Árbol que alcanza hasta 15 m de alto. Sus hojas son  simples, alternas y con estípula. Las flores poseen seis pétalos alargados, verde  amarillentos, los cuales tienen una fragancia especialmente por las noches. Los  frutos al madurar, adquieren un color negro. Las semillas son negros, aplanadas,  cubiertas de una pulpa verdosa, la cual es apetecida por algunas aves.   | La floración se da entre los meses de Agosto a octubre y los frutos  entre noviembre y diciembre.   | De las flores se extrae aromas el cual se industrializa comercialmente en  perfumería.
Cordia dwyeri  Nowicke   | Sin datos. | Boraginaceae   |  Nicaragua hasta Colombia y  Ecuador. En Costa Rica mayormente  conocida de la zona norte y la región de  Baja Talamanca; 50 -700 m   | Árbol o  arbusto, 3 -7 m de alto; ramitas con una  pubescencia densa color café o pardo - rojiza. Hojas simples, alternas, 20 -50 x  13-23 cm, ovadas, a veces obovadas,  ápice largo -acuminado, base redondeada  o subcordada, fuertemente bulladas en la haz y pardo -rojizo pubescentes en el  envés, el margen resoluto; pecíolos hasta 1 cm de largo, gruesos  y pubescentes.  Flores blancas, (bisexuales); cáliz de 6 -7 mm de largo, con 2 -3 lóbulos; corola 8 - 10 mm de largo, con 5 lóbulos; estambres 5. Inflorescencias son cimosas,  terminales o axilares, con muchas flores. Los frutos son drupas de 1.7 x 1.3 cm,  ovoides, blancos, cubiertos en parte por el cáliz y con una sola semilla. Se  reconoce fácil por sus hojas grandes, denso -pubescentes, el ápice largo  acuminado y la lámina conspicuamente reticulado -bullada, así como por su porte  monopódico .  |  Flores ob servadas en marzo, mayo y octubre; frutos en enero, marzo,  mayo, junio, agosto y setiembre. Prefiere terreno plano   |  Por su atractivo follaje y porte sería un ornamental muy apreciado (Florula, La selva. 2012).
Chrysophyllum cainito   | Caimito o sapodilla morada. | Sapotaceae   | Originario de la India  hasta China, el árbol de caimito fue  introducido en El Salvador, así como  en muchos países de América  tropical. Se desarrolla en climas  húmedos a secos.   | Sus hojas  son simples, alternas, brillantes y  densamente pubescentes y ferrugíneas en el envés, cuando son viejas se tornan  color rojo brillante. Las flores son pequeñas, de color blanco rosáseo, corola  acampanada, con el tubo dos veces más g rande que el cáliz; crecen en las axilas  de las hojas. El fruto es una baya redonda, comestible, de sabor dulce muy  agradable; cuando verde es lechoso, ya maduro generalmente es de color  morado, contiene varias semillas duras, aplanadas, de color morado, c ontiene  varias semillas duras, aplanadas, de color negro.   | La floración se da entre los meses de marzo a abril y los frutos entre  mayo a junio.    | Se utiliza en la fabricación de muebles finos. También se aprovecha sus  frutos, sirve como sombra. En algunos herbarios de salud, las hojas del caimito,  por sus propiedades astringentes, son recomendadas para problemas digestivos y  las semillas como diurético.
Cordia megalantha  S.F. Blake   | Laurel mastate.   | Boraginaceae |  México a Panamá. En Costa Rica es conocida en la zona norte, la  vertiente del Caribe y parte suroes te de la vertiente del Pacífico, principalmente en  climas muy húmedos; 0 -400 m.   | Árbol, 30 -50 m de alto; ramitas glabras, pardo rojizas,  Tronco derecho, cilíndrico, Corteza con leves fisuras longitudinales. Hojas simples,  alternas , agrupadas al final de las ramitas, 7 -15 x 3 -8 cm, elíptico -oblongas a  amplio -obovadas u ovadas, ápice obtuso, agudo o amplio -redondeado y  abruptamente punteado, base aguda, glabras, lisas; pecíolos de 1.1 -3.3 cm de  largo, acanalado. Flores blancas (bisex uales); cáliz 9 -10 mm de largo, con 10 -20  costillas; corola de 2.8 -4.3 cm de largo, con 5 lóbulos; estambres 5.  Inflorescencias son cimas paniculadas, terminales, de 6 -12 cm de largo y 30 cm  de ancho. Frutos son nueces, hasta de 1 cm de largo, ovoide -elipsoidales,  envueltas por la corola y cáliz persistente con una semilla. Se reconoce por sus  ramitas jóvenes con una coloración pardo -rojiza, las hojas lisas, reticuladas en el  envés, agrupadas al final de las ramitas; flores blancas, grandes, con el cáliz  estriado y una ramificación verticilada característica.   |  Flores observadas entre enero y junio y en agosto; frutos en mayo y  junio  (Florula, La selva. 2012).   | Ornamental.
Cestrum rasemosum,  | Zorrillo.   |  Solanaceae.   |  Se encuentra desde el  nivel del mar hasta 2.650 m de altitud.  En toda la vertiente pacífica, en la zona  norte del país, y en el caribe desde el  norte hasta la zona de Guápiles.   | Arbustos o árboles, hasta 12 m de alto, con ramitas  glabras o con tricomas ascendentes diminutos.  Hojas ovadas o angostamente  ovadas, de 9,0 a 17,5 cm de largo, glabras cuando están maduras, ápice  acuminado y base redondea da (obtusa); pecíolos has ta 1,6 cm de largo, glabros  (puberulentos).  Inflorescencias de uno a tres racimos cortos, abiertas, mayormente  axilares en las hojas normales, raquis menudamente tomentoso, tricomas persistentes, pedicelos obsoletos, flores nocturnas; cáliz tubular de 2,5 a 3,5 mm  de largo, densamente pubescente, tricomas persistentes, lobos deltoides de 0,5 a  1,2 mm de largo; corola verdosa o amarillenta, tubo delgado de 10 a 15 mm de  largo, que se expande cerca del ápice, glabro, lobos de 2,2 a 3,5 mm de largo,  menudament e tomentosos en los márgenes; filamentos libres por 1,0 a 2,2 mm de  su longitud, sin dientes, a veces pubescentes por abajo. Los frutos son una b aya ovoide de 6 a 8 mm de largo, negra; semillas de 3 a 4 mm  de largo .  |  Con flores o frutos durante todo el año .  |  En el pacífico central es usado para hacer sabrosos picadillos, a  pesar de su fuerte olor.
Ceiba pentandra (L.) Gaertn .  | Ceiba   | Bombacaceae.   |  Se encuentra en el Pacífico  norte, central y sur, así co mo en la zona  norte y Caribe. La distribución altitudinal  varía de 0 -1500 m.s.n.m.   | Árbol, 20 -60 m de altura. Esta especie se da en un  amplio rango de condiciones edáficas y climáticas; sin embargo, es más frecuente  y adquiere su máxima expresión en las tierras bajas muy húmedas, en especial  sobre terrenos planos de origen aluvial, además es donde desarrolla las gambas  de mayor tamaño, aunque se presume también que el mayor tamaño de éstas se  da cuando crece en sitios muy afectados por vientos (Baker 1983). Se considera  una especie pionera, que requiere mucha luz para su desarrollo y alcanza un  crecimiento muy rápido; en África se han registrado hasta 4 m por año par a  árboles jóvenes.   |  Las flores se registran principalmente de diciembre a febrero  y es la  época en que este árbol bota todo su follaje y produce frutos. Un árbol no florece  todos lo años y se han dado períodos de 5 a 10 años en tre dos episodios de floración ; además este autor indica que la eliminación del follaje durante la  floración puede facilitar el acceso libre a las flores a los polinizadores.   | Las semillas son comestibles, ricas en aceites y se usan en la fabricación de  jabón, para el alumbrado  y como alimento para el ganado. La madera es suave,  absorbente y liviana y se usa para para fabricar botes, ataúdes, bateas, cajas para  empacar, juguetes, etc., aunque en la actualidad se utiliza principalmente en la  construcción (para formaleta) . En medicina popular, a la corteza, hojas, tallos y  flores se les atribuyen usos para el tratamiento de hemorroides, el dolor de  estómago y de cabeza, como diurético, estimulante de la producción de leche  materna, para aumentar la fertilidad de la mujer, para el asma, hernias, lavar  heridas y detener hemorragias. Las hojas pueden usarse como forraje y abono y  los frutos tiernos son comestibles.
Colubrina spinosa Donn. Sm  | Picha de pan.   | Rhamnaceae .   |  Se encuentra en el Pacífico  norte, central y sur, así co mo en la zona  norte y Caribe. La dis tribución altitudinal  varía de 760 -1500 m.s.n.m.   | Arbusto o árbol  de 2 a 10 m de altura. Hojas alternas de 6 a 17 por 3 a 8 cm, elípticas u ovado - elípticas, margen entero . Inflorescencias en cimas sésiles. Frutos de 5 a 8 mm de  largo.  Se reconoce por las dos glándulas que posee en la base adaxial de las  hojas y sus inflorescencias sésiles con las flores largas y pediceladas (con los  pedicelos de más de 10 mm de largo).   La presencia de las glándulas y los frutos débilmente trilobados es la causa de que  muchas veces se confunda con miembros de la familia Euphorbiaceae o  Flacourtiaceae. Su corteza interna tiene un suave olor mentolado.   | Flores se producen durante todo el año.   | Ornamental y comido por fauna menor.
